date,"('Portugal', '0-9')","('Portugal', '10-19')","('Portugal', '20-29')","('Portugal', '30-39')","('Portugal', '40-49')","('Portugal', '50-59')","('Portugal', '60-69')","('Portugal', '70-79')","('Portugal', '80-')"
27-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03-2020,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,21.0
25-03-2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0
26-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0
27-03-2020,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,10.0
