,"('Czechia', '0-9')","('Czechia', '10-19')","('Czechia', '20-29')","('Czechia', '30-39')","('Czechia', '40-49')","('Czechia', '50-59')","('Czechia', '60-69')","('Czechia', '70-79')","('Czechia', '80-89')","('Czechia', '90-120')"
02-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
03-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
04-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
07-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
09-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12-06-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
19-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
26-06-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
02-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
04-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
05-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
06-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
09-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
17-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
19-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
23-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
25-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
26-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27-07-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
28-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29-07-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
02-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
03-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
04-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
05-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
06-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
09-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
13-08-2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
15-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17-08-2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
19-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
20-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
21-08-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
23-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
24-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
26-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29-08-2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
01-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
03-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
04-09-2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
05-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
06-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
07-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
08-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
09-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10-09-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0
11-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
12-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0
13-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
14-09-2020,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0
15-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0
16-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
17-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
18-09-2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0
19-09-2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0
20-09-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0
21-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,1.0
22-09-2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,1.0
23-09-2020,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,8.0,2.0
24-09-2020,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0
25-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0
26-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,3.0
27-09-2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,2.0
